2000 2500
842 238 9252 
691 1686 1212 
795 769 8565 
1028 442 4275 
99 1406 291 
11 1159 483 
1267 477 2471 
1404 728 365 
157 565 2896 
723 154 2279 
404 1285 2032 
1963 196 7764 
1094 175 718 
1387 528 7045 
1901 511 7489 
1027 486 8202 
844 1303 9483 
909 552 2903 
1943 1626 1923 
55 1808 8233 
573 654 6223 
1489 489 7722 
1486 465 4187 
881 1233 5867 
267 900 1062 
1979 932 4144 
178 1609 8899 
1335 1232 1786 
1320 659 3081 
17 1386 8093 
1721 35 5868 
1513 554 1175 
528 748 7932 
1581 374 1634 
887 519 4504 
1419 562 2626 
1106 1233 2161 
433 1521 946 
458 1236 6913 
717 15 7838 
1562 358 2537 
139 1650 9091 
1605 872 9824 
480 1562 8065 
278 463 2635 
935 838 9716 
1515 1441 293 
494 1346 3952 
161 404 5588 
1870 1648 7501 
586 1243 8947 
243 1435 6612 
1911 581 6401 
16 1475 5697 
1856 1218 4471 
670 1872 2059 
385 901 834 
542 1151 9168 
970 1620 5806 
1037 756 505 
1615 332 9747 
428 198 7623 
1702 1715 9379 
1311 622 6977 
1011 937 5923 
1154 1783 1257 
1736 1298 5312 
681 283 9643 
1418 1037 754 
1729 1022 3312 
1356 376 5512 
1155 1050 6498 
682 839 4201 
1328 901 156 
750 824 4897 
973 741 4388 
316 1237 9493 
780 1673 3401 
176 855 3924 
946 1491 5501 
1595 1466 5137 
1203 647 4190 
1742 22 4156 
226 534 5868 
1169 1513 3375 
1848 617 9101 
1912 198 6851 
1546 1013 2659 
1139 1585 5145 
605 796 4573 
1547 1344 2734 
1972 986 8120 
1259 584 3261 
1945 1156 7923 
1727 293 3457 
65 967 911 
1005 1666 480 
1938 27 6126 
1501 1041 6568 
1148 1223 3324 
383 1381 8163 
1493 1591 9230 
950 82 2927 
1504 1983 3201 
872 178 8634 
480 866 7650 
707 1164 8454 
84 1352 6492 
99 512 1152 
1429 1909 8764 
655 168 4962 
1992 1803 198 
273 742 5626 
250 350 2185 
184 1 7659 
421 1973 9731 
609 36 5469 
27 119 8455 
1498 1950 3439 
1582 1251 8976 
1017 1174 7804 
56 723 4596 
490 1718 2822 
501 823 4455 
1961 191 535 
1129 1475 2636 
506 1545 6994 
1403 1794 5184 
1668 1369 8427 
564 1802 67 
203 81 619 
78 14 770 
757 1024 7285 
1352 1847 935 
1185 1442 6525 
1830 244 6932 
1983 329 2792 
611 718 5254 
1154 662 9761 
1800 245 1424 
1767 1265 328 
1646 1680 1528 
343 682 4553 
591 1219 6842 
1973 788 8912 
248 381 2834 
696 1671 4160 
1560 2000 5061 
1300 604 6568 
1804 9 2264 
1151 1256 7938 
